State,Month,Pollutant,API Level
Johor,2024-01,Particulate Matter(PM),26.7
Johor,2024-01,Carbon  Monoxide(CO),0.83
Johor,2024-01,Nitrogen Dioxide(NO2),25
Johor,2024-01,Sulfur Dioxide(SO2),4
Johor,2024-01,Volatie Organic Compounds(VOCs),33
Johor,2024-01,Ground-level Ozone(O3),36
Johor,2024-02,Particulate Matter(PM),24.9
Johor,2024-02,Carbon  Monoxide(CO),0.75
Johor,2024-02,Nitrogen Dioxide(NO2),29
Johor,2024-02,Sulfur Dioxide(SO2),5
Johor,2024-02,Volatie Organic Compounds(VOCs),37
Johor,2024-02,Ground-level Ozone(O3),29
Johor,2024-03,Particulate Matter(PM),22.9
Johor,2024-03,Carbon  Monoxide(CO),0.79
Johor,2024-03,Nitrogen Dioxide(NO2),26
Johor,2024-03,Sulfur Dioxide(SO2),4
Johor,2024-03,Volatie Organic Compounds(VOCs),42
Johor,2024-03,Ground-level Ozone(O3),38
Johor,2024-04,Particulate Matter(PM),25.4
Johor,2024-04,Carbon  Monoxide(CO),0.68
Johor,2024-04,Nitrogen Dioxide(NO2),26
Johor,2024-04,Sulfur Dioxide(SO2),3
Johor,2024-04,Volatie Organic Compounds(VOCs),43
Johor,2024-04,Ground-level Ozone(O3),40
Johor,2024-05,Particulate Matter(PM),27.7
Johor,2024-05,Carbon  Monoxide(CO),0.89
Johor,2024-05,Nitrogen Dioxide(NO2),24
Johor,2024-05,Sulfur Dioxide(SO2),4
Johor,2024-05,Volatie Organic Compounds(VOCs),48
Johor,2024-05,Ground-level Ozone(O3),39
Johor,2024-06,Particulate Matter(PM),28.7
Johor,2024-06,Carbon  Monoxide(CO),0.85
Johor,2024-06,Nitrogen Dioxide(NO2),25
Johor,2024-06,Sulfur Dioxide(SO2),6
Johor,2024-06,Volatie Organic Compounds(VOCs),42
Johor,2024-06,Ground-level Ozone(O3),36
Johor,2024-07,Particulate Matter(PM),27.9
Johor,2024-07,Carbon  Monoxide(CO),1
Johor,2024-07,Nitrogen Dioxide(NO2),27
Johor,2024-07,Sulfur Dioxide(SO2),5
Johor,2024-07,Volatie Organic Compounds(VOCs),41
Johor,2024-07,Ground-level Ozone(O3),31
Johor,2024-08,Particulate Matter(PM),35.2
Johor,2024-08,Carbon  Monoxide(CO),1.04
Johor,2024-08,Nitrogen Dioxide(NO2),30
Johor,2024-08,Sulfur Dioxide(SO2),7
Johor,2024-08,Volatie Organic Compounds(VOCs),39
Johor,2024-08,Ground-level Ozone(O3),37
Johor,2024-09,Particulate Matter(PM),29.8
Johor,2024-09,Carbon  Monoxide(CO),1.05
Johor,2024-09,Nitrogen Dioxide(NO2),30
Johor,2024-09,Sulfur Dioxide(SO2),5
Johor,2024-09,Volatie Organic Compounds(VOCs),35
Johor,2024-09,Ground-level Ozone(O3),28
Johor,2024-10,Particulate Matter(PM),26.6
Johor,2024-10,Carbon  Monoxide(CO),0.84
Johor,2024-10,Nitrogen Dioxide(NO2),29
Johor,2024-10,Sulfur Dioxide(SO2),6
Johor,2024-10,Volatie Organic Compounds(VOCs),35
Johor,2024-10,Ground-level Ozone(O3),33
Johor,2024-11,Particulate Matter(PM),25.7
Johor,2024-11,Carbon  Monoxide(CO),0.85
Johor,2024-11,Nitrogen Dioxide(NO2),25
Johor,2024-11,Sulfur Dioxide(SO2),5
Johor,2024-11,Volatie Organic Compounds(VOCs),44
Johor,2024-11,Ground-level Ozone(O3),34
Johor,2024-12,Particulate Matter(PM),21.2
Johor,2024-12,Carbon  Monoxide(CO),0.71
Johor,2024-12,Nitrogen Dioxide(NO2),24
Johor,2024-12,Sulfur Dioxide(SO2),4
