State,Month,API_Value
Kedah,2024-01,132
Kedah,2024-02,122
Kedah,2024-03,44
Kedah,2024-04,136
Kedah,2024-05,101
Kedah,2024-06,50
Kedah,2024-07,132
Kedah,2024-08,151
Kedah,2024-09,104
Kedah,2024-10,117
Kedah,2024-11,146
Kedah,2024-12,129
Kelantan,2024-01,133
Kelantan,2024-02,181
Kelantan,2024-03,160
Kelantan,2024-04,179
Kelantan,2024-05,82
Kelantan,2024-06,31
Kelantan,2024-07,117
Kelantan,2024-08,187
Kelantan,2024-09,67
Kelantan,2024-10,159
Kelantan,2024-11,50
Kelantan,2024-12,190
Melaka,2024-01,87
Melaka,2024-02,51
Melaka,2024-03,118
Melaka,2024-04,78
Melaka,2024-05,88
Melaka,2024-06,199
Melaka,2024-07,44
Melaka,2024-08,80
Melaka,2024-09,137
Melaka,2024-10,84
Melaka,2024-11,93
Melaka,2024-12,160
Negeri Sembilan,2024-01,80
Negeri Sembilan,2024-02,164
Negeri Sembilan,2024-03,50
Negeri Sembilan,2024-04,102
Negeri Sembilan,2024-05,196
Negeri Sembilan,2024-06,47
Negeri Sembilan,2024-07,161
Negeri Sembilan,2024-08,118
Negeri Sembilan,2024-09,89
Negeri Sembilan,2024-10,43
Negeri Sembilan,2024-11,38
Negeri Sembilan,2024-12,119
Pahang,2024-01,82
Pahang,2024-02,159
Pahang,2024-03,113
Pahang,2024-04,121
Pahang,2024-05,140
Pahang,2024-06,37
Pahang,2024-07,64
Pahang,2024-08,110
Pahang,2024-09,193
Pahang,2024-10,79
Pahang,2024-11,133
Pahang,2024-12,161
Perak,2024-01,31
Perak,2024-02,163
Perak,2024-03,83
Perak,2024-04,135
Perak,2024-05,33
Perak,2024-06,83
Perak,2024-07,175
Perak,2024-08,73
Perak,2024-09,191
Perak,2024-10,43
Perak,2024-11,124
Perak,2024-12,77
Perlis,2024-01,44
Perlis,2024-02,69
Perlis,2024-03,111
Perlis,2024-04,140
Perlis,2024-05,82
Perlis,2024-06,53
Perlis,2024-07,183
Perlis,2024-08,153
Perlis,2024-09,70
Perlis,2024-10,186
Perlis,2024-11,44
Perlis,2024-12,74
Penang,2024-01,94
Penang,2024-02,118
Penang,2024-03,100
Penang,2024-04,38
Penang,2024-05,117
Penang,2024-06,158
Penang,2024-07,165
Penang,2024-08,92
Penang,2024-09,168
Penang,2024-10,110
Penang,2024-11,165
Penang,2024-12,192
Sabah,2024-01,192
Sabah,2024-02,62
Sabah,2024-03,152
Sabah,2024-04,34
Sabah,2024-05,70
Sabah,2024-06,57
Sabah,2024-07,164
Sabah,2024-08,101
Sabah,2024-09,41
Sabah,2024-10,191
Sabah,2024-11,62
Sabah,2024-12,77
Sarawak,2024-01,180
Sarawak,2024-02,91
Sarawak,2024-03,66
Sarawak,2024-04,128
Sarawak,2024-05,133
Sarawak,2024-06,64
Sarawak,2024-07,130
Sarawak,2024-08,160
Sarawak,2024-09,30
Sarawak,2024-10,34
Sarawak,2024-11,171
Sarawak,2024-12,132
Selangor,2024-01,56
Selangor,2024-02,166
Selangor,2024-03,44
Selangor,2024-04,119
Selangor,2024-05,71
Selangor,2024-06,153
Selangor,2024-07,92
Selangor,2024-08,125
Selangor,2024-09,81
Selangor,2024-10,125
Selangor,2024-11,161
Selangor,2024-12,180
Terengganu,2024-01,172
Terengganu,2024-02,58
Terengganu,2024-03,65
Terengganu,2024-04,42
Terengganu,2024-05,189
Terengganu,2024-06,100
Terengganu,2024-07,115
Terengganu,2024-08,57
Terengganu,2024-09,95
Terengganu,2024-10,199
Terengganu,2024-11,74
Terengganu,2024-12,91
Johor,2024-01,163
Johor,2024-02,57
Johor,2024-03,57
Johor,2024-04,137
Johor,2024-05,73
Johor,2024-06,113
Johor,2024-07,59
Johor,2024-08,104
Johor,2024-09,157
Johor,2024-10,121
Johor,2024-11,158
Johor,2024-12,150
