State,Month,Particulate Matter(PM),Carbon  Monoxide(CO),Nitrogen Dioxide(NO2),Sulfur Dioxide(SO2),Volatie Organic Compounds(VOCs),Ground-level Ozone(O3)
Johor,2024-01,26.7,0.83,25,4,33,36
Johor,2024-02,24.9,0.75,29,5,37,29
Johor,2024-03,22.9,0.79,26,4,42,38
Johor,2024-04,25.4,0.68,26,3,43,40
Johor,2024-05,27.7,0.89,24,4,48,39
Johor,2024-06,28.7,0.85,25,6,42,36
Johor,2024-07,27.9,1,27,5,41,31
Johor,2024-08,35.2,1.04,30,7,39,37
Johor,2024-09,29.8,1.05,30,5,35,28
Johor,2024-10,26.6,0.84,29,6,35,33
Johor,2024-11,25.7,0.85,25,5,44,34
Johor,2024-12,21.2,0.71,24,4,39,34
Kedah,2024-01,27.6,0.74,27,6,37,31
Kedah,2024-02,25.9,0.65,26,7,44,39
Kedah,2024-03,24.7,0.56,28,5,42,42
Kedah,2024-04,28.1,0.59,27,5,45,42
Kedah,2024-05,27.3,0.68,30,7,42,38
Kedah,2024-06,33.5,0.78,30,7,42,35
Kedah,2024-07,34.9,0.85,34,6,40,35
Kedah,2024-08,33.7,0.77,33,6,40,35
Kedah,2024-09,37.4,0.76,29,7,39,37
Kedah,2024-10,31.6,0.76,32,6,37,34
Kedah,2024-11,29.2,0.69,29,5,42,38
Kedah,2024-12,31.2,0.63,29,6,39,37
Kelantan,2024-01,27.2,0.64,21,6,44,35
Kelantan,2024-02,31.1,0.71,25,6,42,34
Kelantan,2024-03,31.9,0.76,26,6,53,38
Kelantan,2024-04,29.9,0.75,23,5,47,36
Kelantan,2024-05,31.1,0.83,23,7,49,37
Kelantan,2024-06,31.8,0.8,24,6,34,31
Kelantan,2024-07,39.2,0.96,28,5,44,39
Kelantan,2024-08,38,0.89,29,6,43,34
Kelantan,2024-09,38.8,0.92,29,6,43,35
Kelantan,2024-10,32,0.85,28,5,44,33
Kelantan,2024-11,31.9,0.72,22,5,42,36
Kelantan,2024-12,32.7,0.8,29,6,46,34
Melaka,2024-01,22,0.75,22,5,46,39
Melaka,2024-02,19.5,0.88,19,5,44,39
Melaka,2024-03,20.7,0.75,16,3,50,44
Melaka,2024-04,22.9,0.8,18,5,54,44
Melaka,2024-05,26.4,0.84,21,5,50,41
Melaka,2024-06,24.8,0.97,23,6,46,41
Melaka,2024-07,24.4,0.93,20,5,44,41
Melaka,2024-08,31.8,1.11,24,5,46,39
Melaka,2024-09,28.2,1.13,22,6,39,35
Melaka,2024-10,29,0.91,20,3,44,41
Melaka,2024-11,24.3,0.77,23,5,47,38
Melaka,2024-12,21.7,0.79,23,5,46,40
Negeri Sembilan,2024-01,28.9,0.75,23,6,43,31
Negeri Sembilan,2024-02,23.5,0.73,23,4,42,32
Negeri Sembilan,2024-03,24.9,0.67,21,4,48,39
Negeri Sembilan,2024-04,24.6,0.71,22,5,53,42
Negeri Sembilan,2024-05,28.8,0.65,21,3,52,36
Negeri Sembilan,2024-06,28.2,0.72,20,5,43,32
Negeri Sembilan,2024-07,30.2,0.84,25,6,46,35
Negeri Sembilan,2024-08,33.2,0.85,22,5,43,32
Negeri Sembilan,2024-09,32.8,0.9,24,5,43,33
Negeri Sembilan,2024-10,27.8,0.71,24,5,43,32
Negeri Sembilan,2024-11,26.2,0.72,24,5,52,40
Negeri Sembilan,2024-12,25.7,0.64,19,5,43,31
Pahang,2024-01,27.3,0.5,25,4,42,40
Pahang,2024-02,27.5,0.57,24,6,37,34
Pahang,2024-03,26.9,0.52,24,7,43,37
Pahang,2024-04,28,0.5,26,4,39,39
Pahang,2024-05,27.5,0.6,20,6,44,38
Pahang,2024-06,29.6,0.65,22,4,44,37
Pahang,2024-07,33.4,0.66,25,6,42,34
Pahang,2024-08,32.5,0.75,24,5,39,37
Pahang,2024-09,35,0.66,31,5,41,38
Pahang,2024-10,31.8,0.6,22,7,40,36
Pahang,2024-11,27.5,0.63,20,6,36,32
Pahang,2024-12,26.8,0.41,22,5,40,32
Perak,2024-01,22.5,0.67,18,4,42,36
Perak,2024-02,23.4,0.6,18,4,43,35
Perak,2024-03,25.5,0.48,15,3,45,41
Perak,2024-04,23.9,0.67,18,6,52,44
Perak,2024-05,23.9,0.62,21,3,44,38
Perak,2024-06,27.2,0.8,19,5,45,36
Perak,2024-07,26.3,0.87,19,4,43,30
Perak,2024-08,28,0.93,23,5,40,36
Perak,2024-09,30.6,0.9,27,5,42,36
Perak,2024-10,27.4,0.71,22,4,43,32
Perak,2024-11,29.3,0.78,18,5,39,35
Perak,2024-12,25.9,0.63,21,4,37,30
Perlis,2024-01,25.9,0.78,28,5,43,34
Perlis,2024-02,27.5,0.68,18,5,44,39
Perlis,2024-03,23.6,0.7,21,6,48,39
Perlis,2024-04,29.3,0.82,21,6,44,43
Perlis,2024-05,28.7,0.81,23,4,41,41
Perlis,2024-06,31.5,0.84,22,6,40,40
Perlis,2024-07,32.7,0.82,23,5,46,38
Perlis,2024-08,30.7,0.97,26,5,47,37
Perlis,2024-09,31.6,1,27,5,41,37
Perlis,2024-10,24.5,0.74,20,6,40,34
Perlis,2024-11,25.9,0.82,23,6,42,42
Perlis,2024-12,25.4,0.67,20,5,39,33
Penang,2024-01,28.3,0.61,28,5,35,34
Penang,2024-02,27.8,0.65,25,5,38,37
Penang,2024-03,31.4,0.53,23,5,47,43
Penang,2024-04,31.8,0.64,30,6,50,43
Penang,2024-05,29.8,0.57,26,5,47,43
Penang,2024-06,30.5,0.61,24,5,40,39
Penang,2024-07,34.7,0.68,31,3,41,38
Penang,2024-08,35,0.66,32,3,39,38
Penang,2024-09,33,0.57,30,6,32,33
Penang,2024-10,32,0.6,25,5,40,34
Penang,2024-11,27,0.49,26,5,39,42
Penang,2024-12,30.5,0.64,25,6,39,38
Selangor,2024-01,23.3,0.77,26,7,40,39
Selangor,2024-02,21.7,0.81,25,6,41,35
Selangor,2024-03,21.3,0.81,28,6,47,42
Selangor,2024-04,31,0.85,28,7,46,40
Selangor,2024-05,20.8,0.7,29,6,46,41
Selangor,2024-06,29.5,0.85,28,6,44,40
Selangor,2024-07,31.3,0.93,33,5,51,40
Selangor,2024-08,27,0.89,30,7,50,36
Selangor,2024-09,29.7,0.95,30,5,47,36
Selangor,2024-10,24.1,0.83,24,7,46,42
Selangor,2024-11,27.5,0.76,30,7,42,38
Selangor,2024-12,26.9,0.82,24,6,42,38
Terengganu,2024-01,22.3,0.67,15,5,46,38
Terengganu,2024-02,25.8,0.7,20,7,48,36
Terengganu,2024-03,27,0.72,21,4,49,35
Terengganu,2024-04,26.7,0.7,22,2,56,38
Terengganu,2024-05,22.1,0.68,20,4,53,37
Terengganu,2024-06,29.2,0.8,27,5,48,38
Terengganu,2024-07,32.7,0.97,21,7,45,36
Terengganu,2024-08,34.8,0.96,24,6,46,33
Terengganu,2024-09,33.9,0.9,24,6,47,33
Terengganu,2024-10,26.6,0.7,25,4,40,27
Terengganu,2024-11,25.7,0.65,23,6,38,31
Terengganu,2024-12,23.5,0.62,23,7,49,35
Sabah,2024-01,18.7,0.57,7,2,31,30
Sabah,2024-02,23.9,0.66,10,1,31,29
Sabah,2024-03,18.7,0.6,7,3,36,36
