State,Month,API_Value,Rainfall
Kedah,Jan,132,161
Kedah,Feb,122,182
Kedah,Mar,44,451
Kedah,Apr,136,151
Kedah,May,101,210
Kedah,Jun,50,437
Kedah,Jul,132,161
Kedah,Aug,151,131
Kedah,Sep,104,201
Kedah,Oct,117,182
Kedah,Nov,146,121
Kedah,Dec,129,171
Kelantan,Jan,133,160
Kelantan,Feb,181,65
Kelantan,Mar,160,93
Kelantan,Apr,179,72
Kelantan,May,82,246
Kelantan,Jun,31,485
Kelantan,Jul,117,192
Kelantan,Aug,187,60
Kelantan,Sep,67,277
Kelantan,Oct,159,91
Kelantan,Nov,50,495.66
Kelantan,Dec,190,53
Melaka,Jan,87,234
Melaka,Feb,51,428
Melaka,Mar,118,182
Melaka,Apr,78,255
Melaka,May,88,226
Melaka,Jun,199,47
Melaka,Jul,44,451
Melaka,Aug,80,247
Melaka,Sep,137,151
Melaka,Oct,84,237
Melaka,Nov,93,212
Melaka,Dec,160,93
Negeri Sembilan,Jan,80,255
Negeri Sembilan,Feb,164,80
Negeri Sembilan,Mar,50,437
Negeri Sembilan,Apr,102,196
Negeri Sembilan,May,196,41
Negeri Sembilan,Jun,47,441
Negeri Sembilan,Jul,161,85
Negeri Sembilan,Aug,118,182
Negeri Sembilan,Sep,89,221
Negeri Sembilan,Oct,43,451
Negeri Sembilan,Nov,38,466
Negeri Sembilan,Dec,119,171
Pahang,Jan,82,246
Pahang,Feb,159,91
Pahang,Mar,113,192
Pahang,Apr,121,171
Pahang,May,140,131
Pahang,Jun,37,466
Pahang,Jul,64,281
Pahang,Aug,110,201
Pahang,Sep,193,53
Pahang,Oct,79,247
Pahang,Nov,133,161
Pahang,Dec,161,91
Perak,Jan,31,485
Perak,Feb,163,87
Perak,Mar,83,234
Perak,Apr,135,146
Perak,May,33,474
Perak,Jun,83,234
Perak,Jul,175,68
Perak,Aug,73,255
Perak,Sep,191,56
Perak,Oct,43,451
Perak,Nov,124,171
Perak,Dec,77,261
Perlis,Jan,44,451
Perlis,Feb,69,277
Perlis,Mar,111,192
Perlis,Apr,140,136
Perlis,May,82,246
Perlis,Jun,53,437
Perlis,Jul,183,62
Perlis,Aug,153,120
Perlis,Sep,70,271
Perlis,Oct,186,60
Perlis,Nov,44,451
Perlis,Dec,74,265
Penang,Jan,94,212
Penang,Feb,118,182
Penang,Mar,100,197
Penang,Apr,38,465
Penang,May,117,180
Penang,Jun,158,85
Penang,Jul,165,77
Penang,Aug,92,201
Penang,Sep,168,72
Penang,Oct,110,201
Penang,Nov,165,77
Penang,Dec,192,53
Sabah,Jan,192,53
Sabah,Feb,62,271
Sabah,Mar,152,93
Sabah,Apr,34,474
Sabah,May,70,277
Sabah,Jun,57,421
Sabah,Jul,164,77
Sabah,Aug,101,196
Sabah,Sep,41,466
Sabah,Oct,191,56
Sabah,Nov,62,271
Sabah,Dec,77,261
Sarawak,Jan,180,65
Sarawak,Feb,91,212
Sarawak,Mar,66,277
Sarawak,Apr,128,171
Sarawak,May,133,161
Sarawak,Jun,64,281
Sarawak,Jul,130,161
Sarawak,Aug,160,85
Sarawak,Sep,30,485
Sarawak,Oct,34,474
Sarawak,Nov,171,77
Sarawak,Dec,132,161
Selangor,Jan,56,421
Selangor,Feb,166,72
Selangor,Mar,44,451
Selangor,Apr,119,182
Selangor,May,71,287
Selangor,Jun,153,85
Selangor,Jul,92,201
Selangor,Aug,125,146
Selangor,Sep,81,234
Selangor,Oct,125,146
Selangor,Nov,161,77
Selangor,Dec,180,65
Terengganu,Jan,172,68
Terengganu,Feb,58,421
Terengganu,Mar,65,281
Terengganu,Apr,42,466
Terengganu,May,189,60
Terengganu,Jun,100,201
Terengganu,Jul,115,182
Terengganu,Aug,57,428
Terengganu,Sep,95,212
Terengganu,Oct,199,47
Terengganu,Nov,74,265
Terengganu,Dec,91,212
Johor,Jan,163,68
Johor,Feb,57,421
Johor,Mar,57,421
Johor,Apr,137,146
Johor,May,73,271
Johor,Jun,113,192
Johor,Jul,59,437
Johor,Aug,104,196
Johor,Sep,157,91
Johor,Oct,121,171
Johor,Nov,158,85
Johor,Dec,150,101
